,tic_tess_id,tic_ra,tic_dec,tic_Tmag,bjd0,period,morph_coeff
568,53603189,103.133427570071,-25.5584261342133,8.34088,1468.5237032766684,0.4186371484961164,0.93683183
578,121092386,57.337270971,-20.8740988862418,9.05546,1410.9989360406082,0.4215598573493054,0.6614349
579,393978805,329.114637607513,-55.1065735264786,9.9775,1325.3294576198766,0.421772384546166,0.7895837
581,11598102,20.3873238251468,-29.1313111283796,9.8718,1386.0045769433964,0.422905805191029,0.7789854
582,43846099,77.8104369466848,-8.55685764469575,9.056,1438.0274651798486,0.4234074328199596,0.72502935
591,219346326,74.8735563078298,-49.458115115017,6.8099,1411.0775882564235,0.4257388787921715,0.74287987
597,355601553,357.689272690949,-59.5403018892459,9.3676,1325.3352698333229,0.4299469050269481,0.9517033
600,379806358,256.874610232087,-70.882714140414,9.5996,1625.2140229892764,0.4307892976885879,0.7221218
604,248399337,76.7587993292271,-0.792399856176327,9.81314,1438.1656018486426,0.4319150938632147,0.92027104
605,335499997,179.163853341283,-12.3774904665451,8.98207,1544.4120789345006,0.4328032097081964,0.49921262
611,79403459,320.249213237934,-52.4777946711377,7.9299,1325.3590364030065,0.4353346700274795,0.58348715
612,350478924,85.7941011785523,-58.7592831450992,9.9291,1571.2917448585288,0.4370845963889233,0.7406857
620,441128066,39.6382512604266,-14.2990903565852,9.24389,1410.9934314334323,0.4407791164006591,0.7648914000000001
621,348897766,106.034107779571,-63.4307501763358,9.5521,1325.6315693304607,0.4420564953694769,0.8096374
624,47352608,162.623832760837,-2.69529785031243,8.48952,1544.5626384996735,0.4434482468101865,0.82101214
625,33576348,28.0001682608332,-28.008816590566,9.2789,1386.1714855046814,0.443833167495063,0.66483736
630,434097226,352.507726714582,-11.9084194061814,9.3146,1354.3555870286086,0.4455874167017206,0.7739267
631,183596242,18.367389,-38.350685,9.785,1354.499585708867,0.4455951554025243,0.5411505
636,146520491,76.5735766947816,-20.1313316330735,9.09411,1438.3940701072256,0.4486454805597482,0.82937646
639,269342892,119.072178808685,-48.2448969272229,8.2119,1491.8734289840536,0.4488067035369326,0.7067882
643,380127556,181.848463616586,-59.9507979135088,9.7418,1571.1405360404376,0.4510886848061569,0.9470197
649,139468902,337.56560460171,-42.2910690161155,6.9729,1325.6452624469189,0.4547342183426449,0.7409791
652,183537458,357.798806298125,-39.8655593822153,9.3816,1354.2795207574754,0.4557864687403155,0.59023184
653,259901124,41.4040346543902,-71.2359574610487,6.2278,1325.4708515173986,0.4560838080435346,0.88300645
658,168675489,61.2298255256731,-33.8631438324788,9.814,1411.2192706139758,0.4606648631777418,0.81479657
661,261089147,81.7071949596608,-81.5853353304785,8.1054,1326.220739832694,0.4616656216668323,0.79327923
681,294273900,108.710966985116,-59.2678140049534,8.9811,1329.015879135452,0.4722802821463517,0.82939625
682,103777040,194.396494892862,-33.87228666187,8.3615,1571.2157293793964,0.4732209748724831,0.65191257
684,32268776,23.754346,-29.910326,6.149,1387.3614020962546,0.4762140509588601,0.60663724
690,348717439,45.0572459870032,-81.0884832380544,7.5364,1325.6157627541372,0.4794003122395213,0.8500849
694,401925979,57.3777655678071,-4.52048468947391,8.70758,1438.4664200716422,0.4801571048881171,0.79813665
696,238892775,40.911264,-71.950309,9.859,1325.6997661042087,0.4826575095234553,0.9350679
697,144194304,327.972707467029,-42.3732029248953,9.1715,1325.7508685348073,0.4834690245884442,0.71669906
706,197933923,59.3915714678105,-54.3573823940137,8.0348,1386.1880981883703,0.4901066659182295,0.79934025
708,98628827,185.384523129425,-11.7817084768993,8.45129,1571.0587910639983,0.4908602126613956,0.92141116
717,298079609,142.677365526687,-53.5217031520705,7.6166,1545.3367818609302,0.4953859959244651,0.83383226
719,294784522,71.3160744943618,-70.9992893723136,9.3554,1354.2886330995434,0.4956178674791301,0.8475038
720,450637853,169.086491005,-54.4538706549448,8.7419,1571.0116451285128,0.4971262730301024,0.7835898
728,146688260,43.2252293119644,-43.5224363210417,9.9289,1386.2656053289522,0.5030694288382576,0.5196432
732,38687360,57.9722599123138,-10.5304073128157,7.90542,1438.2660755187117,0.508017702753351,0.73909223
